#PathwayID	Pathway name	Ontology all ancestors
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|Sucrose Degradation
P42-PWY	incomplete reductive TCA cycle	Degradation/Utilization/Assimilation|C1 Compound Utilization and Assimilation|CO2 Fixation|Autotrophic CO2 Fixation|Reductive TCA Cycles
PWY66-373	sucrose degradation V (sucrose &alpha;-glucosidase)	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|Sucrose Degradation
P23-PWY	reductive TCA cycle I	Degradation/Utilization/Assimilation|C1 Compound Utilization and Assimilation|CO2 Fixation|Autotrophic CO2 Fixation|Reductive TCA Cycles
PWY-3801	sucrose degradation II (sucrose synthase)	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|Sucrose Degradation
PWY-5392	reductive TCA cycle II	Degradation/Utilization/Assimilation|C1 Compound Utilization and Assimilation|CO2 Fixation|Autotrophic CO2 Fixation|Reductive TCA Cycles
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|Sucrose Degradation
PWY-8060	2-deoxy-D-ribose degradation I	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|2-Deoxy-D-ribose Degradation
PWY-8058	2-deoxy-D-ribose degradation II	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|2-Deoxy-D-ribose Degradation
MANNCAT-PWY	D-mannose degradation I	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|D-Mannose-Degradation
PWY3O-1743	D-mannose degradation II	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|D-Mannose-Degradation
ARABCAT-PWY	L-arabinose degradation I	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|L-arabinose Degradation
PWY-7295	L-arabinose degradation IV	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|L-arabinose Degradation
PWY-5517	L-arabinose degradation III	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|L-arabinose Degradation
PWY-5515	L-arabinose degradation II	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|L-arabinose Degradation
PWY-5674	nitrate reduction IV (dissimilatory)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Nitrate Reduction|Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration
PWY-6748	nitrate reduction VII (denitrification)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Nitrate Reduction|Denitrification|Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Nitrate Reduction|Denitrification|Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration
PWY-4601	arsenate reduction (respiratory)	Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration
PWY-6530	perchlorate reduction	Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration
PWY-6529	chlorate reduction	Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration
DISSULFRED-PWY	dissimilatory sulfate reduction I (to hydrogen sufide))	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Dissimilatory Sulfate Reduction|Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration
PWY-5303	thiosulfate oxidation II (via tetrathionate)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Thiosulfate Oxidation|Generation of Precursor Metabolites and Energy|Respiration|Aerobic Respiration
THIOSULFOX-PWY	thiosulfate oxidation I (to tetrathionate)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Thiosulfate Oxidation|Generation of Precursor Metabolites and Energy|Respiration|Aerobic Respiration
PWY-7385	1,3-propanediol biosynthesis (engineered)	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation to Alcohols
PWY-6883	pyruvate fermentation to butanol II (engineered)	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Alcohols|Pyruvate Fermentation to Butanol
PWY-7111	pyruvate fermentation to isobutanol (engineered)	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Alcohols
PWY-6863	pyruvate fermentation to hexanol (engineered)	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Alcohols
PWY-5853	demethylmenaquinol-6 biosynthesis I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Quinol and Quinone Biosynthesis|Demethylmenaquinol Biosynthesis|Demethylmenaquinol-6 Biosynthesis
PWY-7396	butanol and isobutanol biosynthesis (engineered)	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation to Alcohols
PWY-7372	demethylmenaquinol-6 biosynthesis II	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Quinol and Quinone Biosynthesis|Demethylmenaquinol Biosynthesis|Demethylmenaquinol-6 Biosynthesis
PWY-6583	pyruvate fermentation to butanol I	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Alcohols|Pyruvate Fermentation to Butanol
PWY-7997	demethylmenaquinol-4 biosynthesis	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Quinol and Quinone Biosynthesis|Demethylmenaquinol Biosynthesis|Demethylmenaquinol-6 Biosynthesis
PWY-5852	demethylmenaquinol-8 biosynthesis I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Quinol and Quinone Biosynthesis|Demethylmenaquinol Biosynthesis|Demethylmenaquinol-8 Biosynthesis
PWY-6262	demethylmenaquinol-8 biosynthesis II	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Quinol and Quinone Biosynthesis|Demethylmenaquinol Biosynthesis|Demethylmenaquinol-8 Biosynthesis
PWY-5381	NAD salvage (plants)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
PWY-6588	pyruvate fermentation to acetone	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate
PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
PWY-7351	pyruvate fermentation to opines	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate
PYRIDNUCSYN-PWY	NAD de novo biosynthesis I (from aspartate)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
CENTFERM-PWY	pyruvate fermentation to butanoate	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Short-Chain Fatty Acids|Fermentation to Butanoate
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
P283-PWY	hydrogen oxidation I (aerobic)	Generation of Precursor Metabolites and Energy|Chemoautotrophic Energy Metabolism|Hydrogen Oxidation
PWY-7761	NAD salvage pathway II (PNC IV cycle)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
PWY-6512	hydrogen oxidation III (anaerobic, NADP)	Generation of Precursor Metabolites and Energy|Chemoautotrophic Energy Metabolism|Hydrogen Oxidation
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
PWY-5382	hydrogen oxidation II (aerobic, NAD)	Generation of Precursor Metabolites and Energy|Chemoautotrophic Energy Metabolism|Hydrogen Oxidation
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
PWY3O-4107	NAD salvage pathway V (PNC V cycle)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
NAD-BIOSYNTHESIS-III	NAD biosynthesis III (from nicotinamide)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Enzyme Cofactor Biosynthesis|NAD Metabolism|NAD Biosynthesis
SALVPURINE2-PWY	xanthine and xanthosine salvage	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|Purine Nucleotide Salvage
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|5-Aminoimidazole Ribonucleotide Biosynthesis
PWY-6543	4-aminobenzoate biosynthesis	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Folate Biosynthesis
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|5-Aminoimidazole Ribonucleotide Biosynthesis
PWY-6614	tetrahydrofolate biosynthesis	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Folate Biosynthesis
PWY-7183	pyrimidine nucleobases salvage I	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide Salvage
PWY-2161B	glutamate removal from folates	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Folate Biosynthesis
PWY-7195	pyrimidine ribonucleosides salvage III	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation|Pyrimidine Nucleotide Degradation|Pyrimidine Ribonucleoside Degradation|Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide Salvage
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Folate Biosynthesis
PWY-7199	pyrimidine deoxyribonucleosides salvage	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide Salvage
PWY-2161	folate polyglutamylation	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Folate Biosynthesis
PWY-6556	pyrimidine ribonucleosides salvage II	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation|Pyrimidine Nucleotide Degradation|Pyrimidine Ribonucleoside Degradation|Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide Salvage
PWY-7205	CMP phosphorylation	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide Salvage
PWY-7193	pyrimidine ribonucleosides salvage I	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide Salvage
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide De Novo Biosynthesis|2'-Deoxyribonucleotide Biosynthesis|Pyrimidine Deoxyribonucleotide De Novo Biosynthesis
PWY-5123	trans, trans-farnesyl diphosphate biosynthesis	Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis|All-Trans-Farnesyl-PP-Biosynthesis
PWY-7546	diphthamide biosynthesis II (eukaryotes)	Biosynthesis|Amino Acid Biosynthesis|Modification of Amino Acid Within Proteins|Diphthamide Biosynthesis
PWY-6482	diphthamide biosynthesis I (archaea)	Biosynthesis|Amino Acid Biosynthesis|Modification of Amino Acid Within Proteins|Diphthamide Biosynthesis
ASPARTATESYN-PWY	L-aspartate biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-aspartate Biosynthesis
TRPSYN-PWY	L-tryptophan biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-tryptophan Biosynthesis
GLNSYN-PWY	L-glutamine biosynthesis I	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamine Biosynthesis|Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Ammonia Assimilation
PWY-6549	L-glutamine biosynthesis III	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamine Biosynthesis
PWY-5104	L-isoleucine biosynthesis IV	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-isoleucine Biosynthesis
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-isoleucine Biosynthesis
PWY-5103	L-isoleucine biosynthesis III	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-isoleucine Biosynthesis
PWY-5101	L-isoleucine biosynthesis II	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-isoleucine Biosynthesis
PWY-5108	L-isoleucine biosynthesis V	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-isoleucine Biosynthesis
PWY-6994	L-pyrrolysine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-pyrrolysine Biosynthesis
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-asparagine Biosynthesis
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-asparagine Biosynthesis
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-threonine Biosynthesis
PWY-7177	UTP and CTP dephosphorylation II	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation|Pyrimidine Nucleotide Degradation|Pyrimidine Ribonucleoside Degradation|UTP and CTP Dephosphorylation
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamate Biosynthesis
PWY-7185	UTP and CTP dephosphorylation I	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation|Pyrimidine Nucleotide Degradation|Pyrimidine Ribonucleoside Degradation|UTP and CTP Dephosphorylation
PWY-4341	L-glutamate biosynthesis V	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamate Biosynthesis
PWY-6426	uracil degradation II (oxidative)	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation|Pyrimidine Nucleotide Degradation|Pyrimidine Nucleobase Degradation|Uracil Degradation
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamate Biosynthesis
PWY0-1471	uracil degradation III	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation|Pyrimidine Nucleotide Degradation|Pyrimidine Nucleobase Degradation|Uracil Degradation
GLUTSYNIII-PWY	L-glutamate biosynthesis III	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamate Biosynthesis
PWY-7789	erythritol degradation I	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Sugar Derivative Degradation|Sugar Alcohol Degradation|Erythritol Degradation
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamate Biosynthesis|Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-7788	erythritol degradation II	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Sugar Derivative Degradation|Sugar Alcohol Degradation|Erythritol Degradation
GLUTSYN-PWY	L-glutamate biosynthesis I	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamate Biosynthesis
PWY-4781	phytate degradation II	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Sugar Derivative Degradation|Cyclitol Degradation|Phytate Degradation
VALSYN-PWY	L-valine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-valine Biosynthesis
PWY-4702	phytate degradation I	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Sugar Derivative Degradation|Cyclitol Degradation|Phytate Degradation
PWY-5029	3-(imidazol-5-yl)lactate salvage	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-histidine Biosynthesis
PWY-6214	3-chlorocatechol degradation III (meta pathway)	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorocatechol Degradation|3-Chlorocatechol Degradation
HISTSYN-PWY	L-histidine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-histidine Biosynthesis
PWY-6193	3-chlorocatechol degradation II (ortho)	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorocatechol Degradation|3-Chlorocatechol Degradation
DAPLYSINESYN-PWY	L-lysine biosynthesis I	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-lysine Biosynthesis
PWY-6089	3-chlorocatechol degradation I (ortho)	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorocatechol Degradation|3-Chlorocatechol Degradation
PWY-2942	L-lysine biosynthesis III	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-lysine Biosynthesis
PWY-6104	3-chlorotoluene degradation II	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorotoluene Degradation|3 Chlorotoluene Degradation
PWY-2941	L-lysine biosynthesis II	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-lysine Biosynthesis
PWY-6103	3-chlorotoluene degradation I	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorotoluene Degradation|3 Chlorotoluene Degradation
PWY-5097	L-lysine biosynthesis VI	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-lysine Biosynthesis
PWY-6191	2,5-dichlorotoluene degradation	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorotoluene Degradation|Dichlorotoluene Degradation
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-lysine Biosynthesis
PWY-6190	2,4-dichlorotoluene degradation	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorotoluene Degradation|Dichlorotoluene Degradation
PWY-3081	L-lysine biosynthesis V	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-lysine Biosynthesis
PWY-6192	3,4-dichlorotoluene degradation	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorotoluene Degradation|Dichlorotoluene Degradation
PWY-4281	L-proline biosynthesis IV	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-proline Biosynthesis
PWY-6088	3-chlorobenzoate degradation I (via chlorocatechol)	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorobenzoate Degradation|3-Chlorobenzoate Degradation
PWY-3341	L-proline biosynthesis III (from L-ornithine)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-proline Biosynthesis
PWY-6228	3-chlorobenzoate degradation III (via gentisate)	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorobenzoate Degradation|3-Chlorobenzoate Degradation
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-proline Biosynthesis
PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)	Degradation/Utilization/Assimilation|Chlorinated Compound Degradation|Aromatic Compound Degradation|Chloroaromatic Compound Degradation|Chlorobenzoate Degradation|3-Chlorobenzoate Degradation
PWY-4981	L-proline biosynthesis II (from arginine)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-proline Biosynthesis
PWY-5488	4-nitrophenol degradation II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Phenolic Compound Degradation|Nitroaromatic Compound Degradation|Nitrophenol Degradation|4-Nitrophenol Degradation
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-arginine Biosynthesis
PWY-5487	4-nitrophenol degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Phenolic Compound Degradation|Nitroaromatic Compound Degradation|Nitrophenol Degradation|4-Nitrophenol Degradation
PWY-7400	L-arginine biosynthesis IV (archaea)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-arginine Biosynthesis
PWY-5636	2-nitrophenol degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Phenolic Compound Degradation|Nitroaromatic Compound Degradation|Nitrophenol Degradation|2-Nitrophenol Degradation
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-arginine Biosynthesis
PWY-5644	4-nitrotoluene degradation II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Nitroaromatic Compound Degradation|Nitrotoluene Degradation|4-Nitrotoluene Degradation
PWY0-901	L-selenocysteine biosynthesis I (bacteria)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-selenocysteine Biosynthesis
P421-PWY	4-nitrotoluene degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Nitroaromatic Compound Degradation|Nitrotoluene Degradation|4-Nitrotoluene Degradation
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-selenocysteine Biosynthesis
PWY-7234	inosine-5'-phosphate biosynthesis III	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|Purine Nucleotide De Novo Biosynthesis|Purine Riboucleotide De Novo Biosynthesis|Inosine-5'-phosphate Biosynthesis
PWY-7289	L-cysteine biosynthesis V (mycobacteria)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-cysteine Biosynthesis
PWY-6124	inosine-5'-phosphate biosynthesis II	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|Purine Nucleotide De Novo Biosynthesis|Purine Riboucleotide De Novo Biosynthesis|Inosine-5'-phosphate Biosynthesis
PWY-8010	L-cysteine biosynthesis IX (Trichomonas vaginalis)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-cysteine Biosynthesis
P261-PWY	coenzyme M biosynthesis I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Coenzyme M Biosynthesis
PWY-6123	inosine-5'-phosphate biosynthesis I	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|Purine Nucleotide De Novo Biosynthesis|Purine Riboucleotide De Novo Biosynthesis|Inosine-5'-phosphate Biosynthesis
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-homocysteine Degradation|Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-cysteine Biosynthesis
PWY-6643	coenzyme M biosynthesis II	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Coenzyme M Biosynthesis
PWY-7790	UMP biosynthesis II	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide De Novo Biosynthesis|Pyrimidine Ribonucleotide De Novo Biosynthesis|UMP Biosynthesis
PWY-8009	L-cysteine biosynthesis VIII (Thermococcus kodakarensis)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-cysteine Biosynthesis
PWY-7865	coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Coenzyme B/Coenzyme M Regeneration
PWY-5686	UMP biosynthesis I	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Pyrimidine Nucleotide Biosynthesis|Pyrimidine Nucleotide De Novo Biosynthesis|Pyrimidine Ribonucleotide De Novo Biosynthesis|UMP Biosynthesis
CYSTSYN-PWY	L-cysteine biosynthesis I	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-cysteine Biosynthesis
